id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,69,3,322,2023-02-28,1.9,1,44,37
20168,Studio with private bathroom in the centre 1,59484,Alexander,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2020-04-09,2.14,2,0,0
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,Centrum-West,52.38761,4.89188,Private room,143,3,248,2023-02-26,1.82,1,14,20
28871,Comfortable double room,124245,Edwin,Centrum-West,52.36775,4.89092,Private room,76,2,476,2023-02-28,3.12,2,79,97
29051,Comfortable single room,124245,Edwin,Centrum-Oost,52.36584,4.89111,Private room,56,2,618,2023-03-03,4.23,2,69,85
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,44,2022-08-20,0.29,1,0,3
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,Centrum-West,52.37104,4.87713,Entire home/apt,325,5,87,2023-01-01,0.66,1,346,3
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Centrum-West,52.38028,4.89089,Entire home/apt,257,3,462,2023-02-23,3.07,1,134,64
729260,Great location modern apartment,3788198,Martin,Centrum-West,52.38079,4.88536,Entire home/apt,200,2,109,2021-08-30,0.87,1,102,0
50263,Cent Adam Lux 2bed(4p) apt 125 sqm,230246,Donald,Centrum-Oost,52.37118,4.93146,Entire home/apt,395,4,163,2016-05-03,1.08,1,341,0
729317,Suite 2 Stay - studio Beautiful Barok - canal area,3788673,Laurens En Petra,Centrum-Oost,52.36052,4.89568,Private room,129,3,126,2023-02-05,1.75,2,32,35
319985,Elegant Appartement Central Location.,1640702,J,De Pijp - Rivierenbuurt,52.35669,4.90187,Entire home/apt,244,1,492,2023-02-21,3.73,2,41,88
50523,B & B de 9 Straatjes (city center),231946,Raymond,Centrum-West,52.36811,4.88262,Private room,133,2,385,2023-02-22,2.6,1,175,71
327285,beautiful designed ap.+bikes+garden,1672823,Ester,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,244,2,561,2023-03-04,4.19,2,13,26
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,Centrum-Oost,52.358112,4.897637,Entire home/apt,150,3,65,2022-10-16,0.44,1,2,3
55868,Apartment near Museumplein (centre),264178,Cornelie,Zuid,52.35597,4.88512,Entire home/apt,149,3,95,2020-01-03,0.64,1,65,0
62015,"Charming, beautifully & sunny place",301340,Jessica,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,2021-11-14,0.24,1,0,0
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,Centrum-West,52.37828,4.8944,Private room,116,3,241,2022-12-31,1.65,4,0,13
730916,Bed & Breakfast in Oud West Area,3267693,Santiago & Tony,Westerpark,52.3731,4.86859,Private room,95,3,403,2023-02-26,3.21,1,141,39
82482,The Backroom - Central private appt,186729,Shawna,Centrum-West,52.36968,4.88122,Entire home/apt,140,2,985,2023-03-06,6.9,1,176,81
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,148,1,121,2023-03-03,0.86,1,2,69
733654,FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,3823268,Geerke,Centrum-Oost,52.37098,4.9227,Entire home/apt,168,5,12,2022-08-13,0.1,1,0,2
740616,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,Centrum-Oost,52.36256,4.9108,Private room,99,3,77,2019-06-15,0.61,1,66,0
331946,Lovely FAMILY house near Vondelpark,1687595,Sebastiaan,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,220,2,27,2019-07-21,0.24,1,0,0
343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,Oud-Oost,52.35715,4.90926,Private room,108,3,462,2023-02-20,3.5,1,116,56
97221,Beautiful and spacious room,195859,Gianni,Slotervaart,52.34801,4.83639,Private room,55,2,273,2023-02-20,1.92,2,269,61
137026,Entire house with garden in De Pijp,670266,Ton & Fede,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,265,2,102,2023-02-26,0.75,1,40,5
350271,Luxe boat AMSTERDAM IJBURG!!!,1775032,Agustina,IJburg - Zeeburgereiland,52.36129,4.98845,Entire home/apt,395,7,4,2022-08-15,0.04,1,0,1
155548,Apartment 2 minutes from Centrum!,748161,Maria,Oud-Oost,52.3642,4.92829,Entire home/apt,200,3,21,2019-08-20,0.15,1,0,0
357980,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,2,121,2023-03-03,0.91,1,17,24
162467,Modern app. with brand new design bathroom,776296,Nicole,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,145,3,64,2023-02-09,0.52,1,77,3
366438,Amsterdam@ city centre & canal view,1849988,Nicolet,Centrum-Oost,52.36737754954245,4.896707133551012,Private room,170,3,463,2023-02-26,3.48,1,162,42
744659,Private luxury B&B near Amstel,3518386,Kristel,Oud-Oost,52.35659,4.90827,Private room,115,1,212,2023-02-19,1.68,2,105,76
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,Centrum-West,52.37956,4.89359,Private room,126,3,280,2022-12-29,2.01,4,0,12
746067,Beautiful apartment in canal house,3713242,Barbara,Centrum-West,52.38295,4.88726,Entire home/apt,136,3,82,2021-10-17,0.67,3,0,0
171054,Spacious apartment next to center,815989,Kamiel,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,3,103,2018-11-28,0.73,1,0,0
747847,nice cozy room near Vondelpark,3548522,Susanne,De Baarsjes - Oud-West,52.36131,4.8519,Private room,60,2,40,2018-06-23,0.36,3,53,0
367107,"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Marijn,Centrum-Oost,52.36263,4.90216,Entire home/apt,214,5,15,2022-10-18,0.16,1,45,4
179528,Authentic Amsterdam apartment RAI,856540,Pierre,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,400,21,32,2022-10-14,0.23,2,107,3
188347,Clean & Cozy room in The Baarsjes,907405,Yahav,De Baarsjes - Oud-West,52.3683,4.85446,Private room,86,1,384,2022-09-20,2.73,2,57,15
367491,"Charming,  bright and quiet home center Amsterdam",1855417,Maarten,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,189,3,77,2023-01-29,0.58,1,2,5
378523,Freedom on the water!,1901477,Caroline,Centrum-Oost,52.3742,4.90401,Entire home/apt,337,4,115,2022-06-20,0.9,1,41,5
754020,Spacious Sunny Apartment - 4p,3966326,Hf,De Pijp - Rivierenbuurt,52.34829,4.91047,Entire home/apt,250,4,75,2023-01-09,0.6,1,18,5
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,Centrum-West,52.37548,4.89398,Entire home/apt,241,2,289,2023-03-08,2.07,1,98,72
213371,Spacious apartment in De Pijp,1100324,Hendrik,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,250,4,23,2023-01-08,0.16,1,2,1
754613,Canal house - Heart of Amsterdam,3970753,Take & Eline,Centrum-Oost,52.37266,4.90456,Entire home/apt,286,4,358,2023-02-25,2.92,1,77,58
379885,Private Studio Houseboat *BEST VIEW* @Amstel,1907015,Masha,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,217,3,92,2023-02-20,0.7,1,203,10
402353,Comfortable design apartment with roof terrace,2008330,Lidy,Watergraafsmeer,52.35338,4.93407,Private room,154,2,249,2023-02-12,1.92,1,67,34
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,Centrum-West,52.37169,4.89446,Private room,115,3,175,2022-06-26,1.27,1,0,4
755431,A special spot near the Jordaan ideal for two,3975477,Anna And Robert,De Baarsjes - Oud-West,52.37066,4.87405,Private room,138,2,227,2023-02-18,1.96,1,193,56
219276,Suite in Canalhouse in the heart of the center,1135329,Amsterdam Boutique Apartments,Centrum-West,52.36883,4.88749,Private room,300,2,17,2022-10-23,0.13,1,38,5
758475,"Central apartment 50m2, Old West Jordaan.",1387938,Mathi,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,100,6,39,2020-07-11,0.31,1,0,0
415619,Sunny Amsterdam East Harbor View,1336633,Stephan,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,148,2,78,2023-01-09,0.59,1,70,7
432233,Beautiful apartment @ true center,2144360,Feiko,Centrum-Oost,52.3609619140625,4.88822603225708,Entire home/apt,250,5,27,2022-09-25,0.2,1,0,3
222516,Cosy apartment in A'dam West. Tasteful & quiet.,1155595,Alex,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,119,3,139,2022-09-05,1.0,1,0,4
438089,STUDIO FOR 2 VONDELPARK AMSTERDAM,2064560,Har,De Baarsjes - Oud-West,52.36116,4.86608,Private room,129,3,231,2022-12-21,1.81,2,0,17
759060,Spacious delightful Canalhouse,4000086,Ingo & Marlies,Centrum-West,52.36754,4.88733,Entire home/apt,325,3,106,2021-08-20,0.86,1,0,0
759299,beautiful spacious appartment near Vondelpark,3548522,Susanne,De Baarsjes - Oud-West,52.36115,4.85209,Entire home/apt,225,2,10,2022-06-27,0.09,3,1,1
761411,Amsterdam sweethome - Clean Quiet Safe,4013546,Xsjong,Noord-Oost,52.40164,4.95106,Private room,56,3,280,2023-01-22,2.23,2,276,23
440992,Charming houseboat near Olympic St.,2191136,Jan,Zuid,52.341621,4.849049,Entire home/apt,200,3,120,2022-06-28,0.91,1,72,9
247805,"Bellavista, central,with canal view",1298735,Carolien,De Baarsjes - Oud-West,52.36707,4.87348,Private room,132,2,396,2023-02-26,2.88,1,161,49
